Country Name,GDP
Aruba,
Africa Eastern and Southern,1.17E+12
Afghanistan,
Africa Western and Central,8.78E+11
Angola,1.07E+11
Albania,18882095518
Andorra,3352032737
Arab World,3.56E+12
United Arab Emirates,5.08E+11
Argentina,6.33E+11
Armenia,19502783988
American Samoa,
Antigua and Barbuda,1757603704
Australia,1.68E+12
Austria,4.71E+11
Azerbaijan,78721058824
Burundi,3073414678
Belgium,5.79E+11
Benin,17401746309
Burkina Faso,18884619613
Bangladesh,4.60E+11
Bulgaria,89040398406
Bahrain,44390820479
"Bahamas, The",12897400000
Bosnia and Herzegovina,24527507288
Belarus,72793457588
Belize,2824081836
Bermuda,7550500000
Bolivia,43068885673
Brazil,1.92E+12
Barbados,5637914515
Brunei Darussalam,16681531646
Bhutan,
Botswana,20352322157
Central African Republic,2382618615
Canada,2.14E+12
Central Europe and the Baltics,1.95E+12
Switzerland,8.08E+11
Channel Islands,
Chile,3.01E+11
China,1.80E+13
Cote d'Ivoire,70018715017
Cameroon,44341646509
"Congo, Dem. Rep.",58065953573
"Congo, Rep.",14615532210
Colombia,3.44E+11
Comoros,1242519407
Cabo Verde,2314816792
Costa Rica,68380838316
Caribbean small states,92935645973
Cuba,
Curacao,
Cayman Islands,
Cyprus,28439052741
Czechia,2.91E+11
Germany,4.07E+12
Djibouti,3515109075
Dominica,612048148.1
Denmark,3.95E+11
Dominican Republic,1.14E+11
Algeria,1.92E+11
East Asia & Pacific (excluding high income),2.12E+13
Early-demographic dividend,1.40E+13
East Asia & Pacific,3.07E+13
Europe & Central Asia (excluding high income),4.12E+12
Europe & Central Asia,2.52E+13
Ecuador,1.15E+11
"Egypt, Arab Rep.",4.77E+11
Euro area,1.40E+13
Eritrea,
Spain,1.40E+12
Estonia,38100812959
Ethiopia,1.27E+11
European Union,1.66E+13
Fragile and conflict affected situations,1.89E+12
Finland,2.81E+11
Fiji,4943248200
France,2.78E+12
Faroe Islands,
"Micronesia, Fed. Sts.",427094119.1
Gabon,21071739228
United Kingdom,3.07E+12
Georgia,24605375420
Ghana,72838798788
Gibraltar,
Guinea,21227749389
"Gambia, The",2273060863
Guinea-Bissau,1633559092
Equatorial Guinea,11813908448
Greece,2.19E+11
Grenada,1256413185
Greenland,
Guatemala,95003333381
Guam,
Guyana,15357537068
High income,6.15E+13
"Hong Kong SAR, China",3.60E+11
Honduras,31717700115
Heavily indebted poor countries (HIPC),9.70E+11
Croatia,70964606465
Haiti,20253551885
Hungary,1.79E+11
IBRD only,3.76E+13
IDA & IBRD total,4.04E+13
IDA total,2.81E+12
IDA blend,1.17E+12
Indonesia,1.32E+12
IDA only,1.64E+12
Isle of Man,
India,3.39E+12
Not classified,
Ireland,5.29E+11
"Iran, Islamic Rep.",3.89E+11
Iraq,2.64E+11
Iceland,27841648044
Israel,5.22E+11
Italy,2.01E+12
Jamaica,17097760745
Jordan,47451499859
Japan,4.23E+12
Kazakhstan,2.21E+11
Kenya,1.13E+11
Kyrgyz Republic,10930644915
Cambodia,29956769529
Kiribati,223352943.2
St. Kitts and Nevis,961563259.3
"Korea, Rep.",1.67E+12
Kuwait,1.85E+11
Latin America & Caribbean (excluding high income),5.30E+12
Lao PDR,15724383783
Lebanon,
Liberia,4001047150
Libya,45752336036
St. Lucia,2065027556
Latin America & Caribbean,6.25E+12
Least developed countries: UN classification,1.42E+12
Low income,5.22E+11
Liechtenstein,
Sri Lanka,74403578363
Lower middle income,8.11E+12
Low & middle income,3.87E+13
Lesotho,2553459763
Late-demographic dividend,2.81E+13
Lithuania,70334299008
Luxembourg,82274812251
Latvia,41153912663
"Macao SAR, China",21979475561
St. Martin (French part),
Morocco,1.34E+11
Monaco,
Moldova,14420947884
Madagascar,14954967604
Maldives,6189865408
Middle East & North Africa,4.41E+12
Mexico,1.41E+12
Marshall Islands,279667900
Middle income,3.82E+13
North Macedonia,13563132057
Mali,18827176532
Malta,17765270015
Myanmar,59364362541
Middle East & North Africa (excluding high income),1.68E+12
Montenegro,6095978868
Mongolia,16810883361
Northern Mariana Islands,
Mozambique,17851491428
Mauritania,10375460680
Mauritius,12898307089
Malawi,13164667627
Malaysia,4.06E+11
North America,2.76E+13
Namibia,12607436976
New Caledonia,
Niger,13969605583
Nigeria,4.77E+11
Nicaragua,15671583878
Netherlands,9.91E+11
Norway,5.79E+11
Nepal,40828247302
Nauru,150922211
New Zealand,2.47E+11
OECD members,5.96E+13
Oman,1.15E+11
Other small states,5.30E+11
Pakistan,3.77E+11
Panama,76522511781
Peru,2.43E+11
Philippines,4.04E+11
Palau,
Papua New Guinea,30633444295
Poland,6.88E+11
Pre-demographic dividend,1.61E+12
Puerto Rico,1.13E+11
"Korea, Dem. People's Rep.",
Portugal,2.52E+11
Paraguay,41722295362
West Bank and Gaza,19111900000
Pacific island small states,10226024920
Post-demographic dividend,5.60E+13
French Polynesia,
Qatar,2.37E+11
Romania,3.01E+11
Russian Federation,2.24E+12
Rwanda,13312796765
South Asia,4.36E+12
Saudi Arabia,1.11E+12
Sudan,51662241775
Senegal,27684430244
Singapore,4.67E+11
Solomon Islands,1595710784
Sierra Leone,3970343852
El Salvador,32488720000
San Marino,
Somalia,8126105600
Serbia,63501748652
Sub-Saharan Africa (excluding high income),2.05E+12
South Sudan,
Sub-Saharan Africa,2.05E+12
Small states,6.33E+11
Sao Tome and Principe,546680341.6
Suriname,3620655116
Slovak Republic,1.15E+11
Slovenia,62117768015
Sweden,5.86E+11
Eswatini,4854167638
Sint Maarten (Dutch part),1571564246
Seychelles,1588406479
Syrian Arab Republic,
Turks and Caicos Islands,1138808881
Chad,12704149842
East Asia & Pacific (IDA & IBRD countries),2.12E+13
Europe & Central Asia (IDA & IBRD countries),5.19E+12
Togo,8126439481
Thailand,4.95E+11
Tajikistan,10492123388
Turkmenistan,
Latin America & the Caribbean (IDA & IBRD countries),5.95E+12
Timor-Leste,3163324631
Middle East & North Africa (IDA & IBRD countries),1.66E+12
Tonga,
South Asia (IDA & IBRD),4.36E+12
Sub-Saharan Africa (IDA & IBRD countries),2.05E+12
Trinidad and Tobago,27899082337
Tunisia,46664948952
Turkiye,9.06E+11
Tuvalu,60349391.1
Tanzania,75709289056
Uganda,45559202049
Ukraine,1.61E+11
Upper middle income,3.01E+13
Uruguay,71177146197
United States,2.55E+13
Uzbekistan,80391853885
St. Vincent and the Grenadines,948558503.1
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
