Year,GDP
1977,71494495.19
1978,88322386.3
1979,102244362.2
1980,110900457
1981,115651918.9
1982,125435590
1983,131803552.2
1984,145533310.7
1985,167728455.2
1986,187589522.6
1987,215009569.6
1988,236357523.7
1989,267327642.2
1990,278098763
1991,300757888.9
1992,310160444.4
1993,309812185.2
1994,325111814.8
1995,342172518.5
1996,366911444.4
1997,392190592.6
1998,445903592.6
1999,482009370.4
2000,520044370.4
2001,520444185.2
2002,540336925.9
2003,591018407.4
2004,599118592.6
2005,695555555.6
2006,698700666.7
2007,758683592.6
2008,825976037
2009,771275555.6
2010,771014814.8
2011,778655555.6
2012,799881481.5
2013,842618518.5
2014,911496296.3
2015,997007407.4
2016,1061640741
2017,1125685185
2018,1166514815
2019,1213485185
2020,1043411111
2021,1122800000
2022,1256413185
