Country Name,PPP
Aruba,
Africa Eastern and Southern,2.5618E+12
Afghanistan,
Africa Western and Central,1.99263E+12
Angola,2.10193E+11
Albania,43026942689
Andorra,
Arab World,6.65633E+12
United Arab Emirates,7.01467E+11
Argentina,1.03784E+12
Armenia,44603810191
American Samoa,
Antigua and Barbuda,2011960630
Australia,1.32486E+12
Austria,5.08918E+11
Azerbaijan,1.53083E+11
Burundi,9128118242
Belgium,6.203E+11
Benin,45869382226
Burkina Faso,48887477068
Bangladesh,1.07214E+12
Bulgaria,1.73413E+11
Bahrain,76342224646
"Bahamas, The",14020276061
Bosnia and Herzegovina,54011060639
Belarus,1.76183E+11
Belize,3930300723
Bermuda,5156616136
Bolivia,1.00252E+11
Brazil,3.24983E+12
Barbados,4254596626
Brunei Darussalam,26342902785
Bhutan,
Botswana,40817011895
Central African Republic,4570392046
Canada,1.90581E+12
Central Europe and the Baltics,3.58113E+12
Switzerland,6.22649E+11
Channel Islands,
Chile,5.07465E+11
China,2.56846E+13
Cote d'Ivoire,1.55935E+11
Cameroon,1.04211E+11
"Congo, Dem. Rep.",1.12144E+11
"Congo, Rep.",19167470509
Colombia,8.11911E+11
Comoros,2715974856
Cabo Verde,4562724771
Costa Rica,1.13912E+11
Caribbean small states,1.33837E+11
Cuba,
Curacao,
Cayman Islands,
Cyprus,39653965589
Czechia,4.38585E+11
Germany,4.50332E+12
Djibouti,5594175566
Dominica,836121301.6
Denmark,3.52436E+11
Dominican Republic,2.17143E+11
Algeria,5.0235E+11
East Asia & Pacific (excluding high income),3.39336E+13
Early-demographic dividend,3.40499E+13
East Asia & Pacific,4.55441E+13
Europe & Central Asia (excluding high income),9.14528E+12
Europe & Central Asia,3.36351E+13
Ecuador,1.95477E+11
"Egypt, Arab Rep.",1.41854E+12
Euro area,1.64627E+13
Eritrea,
Spain,1.8967E+12
Estonia,50867209717
Ethiopia,2.93788E+11
European Union,2.04774E+13
Fragile and conflict affected situations,4.27549E+12
Finland,2.75546E+11
Fiji,11122697574
France,3.12638E+12
Faroe Islands,
"Micronesia, Fed. Sts.",372738024.1
Gabon,33324420053
United Kingdom,3.13634E+12
Georgia,63239818383
Ghana,1.84237E+11
Gibraltar,
Guinea,37408147201
"Gambia, The",5751877771
Guinea-Bissau,3906060696
Equatorial Guinea,24676281914
Greece,3.33022E+11
Grenada,1804629322
Greenland,
Guatemala,1.59034E+11
Guam,
Guyana,27836403513
High income,6.41974E+13
"Hong Kong SAR, China",4.29592E+11
Honduras,59562493586
Heavily indebted poor countries (HIPC),2.27104E+12
Croatia,1.31134E+11
Haiti,32427707827
Hungary,3.41387E+11
IBRD only,7.0544E+13
IDA & IBRD total,7.78412E+13
IDA total,7.32182E+12
IDA blend,3.14642E+12
Indonesia,3.41891E+12
IDA only,4.19575E+12
Isle of Man,
India,1.00567E+13
Not classified,
Ireland,5.79259E+11
"Iran, Islamic Rep.",1.35553E+12
Iraq,4.09321E+11
Iceland,21017203972
Israel,4.22827E+11
Italy,2.57724E+12
Jamaica,28307293425
Jordan,1.0517E+11
Japan,5.21035E+12
Kazakhstan,5.12002E+11
Kenya,2.63737E+11
Kyrgyz Republic,35334352736
Cambodia,75967239306
Kiribati,262820717.2
St. Kitts and Nevis,1374379722
"Korea, Rep.",2.3474E+12
Kuwait,2.09894E+11
Latin America & Caribbean (excluding high income),9.29847E+12
Lao PDR,59841698222
Lebanon,
Liberia,7746811338
Libya,1.34861E+11
St. Lucia,2704646737
Latin America & Caribbean,1.07703E+13
Least developed countries: UN classification,3.53275E+12
Low income,1.36526E+12
Liechtenstein,
Sri Lanka,2.70611E+11
Lower middle income,2.27377E+13
Low & middle income,7.44631E+13
Lesotho,5262001450
Late-demographic dividend,4.4368E+13
Lithuania,1.12166E+11
Luxembourg,75191582972
Latvia,61649523023
"Macao SAR, China",32583894648
St. Martin (French part),
Morocco,3.06611E+11
Monaco,
Moldova,33456925096
Madagascar,44491075134
